step, temperature
1.0,1.0
2.0,1.0
3.0,0.9999
4.0,0.9998000100000001
5.0,0.9997000299990001
6.0,0.9996000599960002
7.0,0.9995000999900007
8.0,0.9994001499800017
9.0,0.9993002099650037
10.0,0.9992002799440072
11.0,0.9991003599160128
12.0,0.9990004498800211
13.0,0.9989005498350332
14.0,0.9988006597800497
15.0,0.9987007797140718
16.0,0.9986009096361004
17.0,0.9985010495451367
18.0,0.9984011994401822
19.0,0.9983013593202382
20.0,0.9982015291843062
21.0,0.9981017090313877
22.0,0.9980018988604846
23.0,0.9979020986705985
24.0,0.9978023084607315
25.0,0.9977025282298854
26.0,0.9976027579770624
27.0,0.9975029977012647
28.0,0.9974032474014946
29.0,0.9973035070767544
30.0,0.9972037767260468
31.0,0.9971040563483742
32.0,0.9970043459427393
33.0,0.9969046455081451
34.0,0.9968049550435942
35.0,0.9967052745480899
36.0,0.9966056040206351
37.0,0.9965059434602331
38.0,0.9964062928658871
39.0,0.9963066522366005
40.0,0.9962070215713769
41.0,0.9961074008692198
42.0,0.9960077901291329
43.0,0.9959081893501199
44.0,0.995808598531185
45.0,0.9957090176713319
46.0,0.9956094467695648
47.0,0.9955098858248879
48.0,0.9954103348363054
49.0,0.9953107938028217
50.0,0.9952112627234414
51.0,0.9951117415971691
52.0,0.9950122304230093
53.0,0.9949127291999671
54.0,0.9948132379270471
55.0,0.9947137566032545
56.0,0.9946142852275941
57.0,0.9945148237990713
58.0,0.9944153723166914
59.0,0.9943159307794598
60.0,0.9942164991863819
61.0,0.9941170775364633
62.0,0.9940176658287097
63.0,0.9939182640621268
64.0,0.9938188722357206
65.0,0.993719490348497
66.0,0.9936201183994622
67.0,0.9935207563876223
68.0,0.9934214043119836
69.0,0.9933220621715524
70.0,0.9932227299653352
71.0,0.9931234076923388
72.0,0.9930240953515695
73.0,0.9929247929420344
74.0,0.9928255004627402
75.0,0.992726217912694
76.0,0.9926269452909028
77.0,0.9925276825963737
78.0,0.9924284298281141
79.0,0.9923291869851313
80.0,0.9922299540664328
81.0,0.9921307310710261
82.0,0.992031517997919
83.0,0.9919323148461192
84.0,0.9918331216146347
85.0,0.9917339383024733
86.0,0.991634764908643
87.0,0.9915356014321521
88.0,0.9914364478720089
89.0,0.9913373042272218
90.0,0.9912381704967991
91.0,0.9911390466797494
92.0,0.9910399327750814
93.0,0.9909408287818039
94.0,0.9908417346989258
95.0,0.9907426505254558
96.0,0.9906435762604033
97.0,0.9905445119027773
98.0,0.990445457451587
99.0,0.9903464129058418
100.0,0.9902473782645512
101.0,0.9901483535267248
102.0,0.9900493386913721
103.0,0.989950333757503
104.0,0.9898513387241272
105.0,0.9897523535902548
106.0,0.9896533783548958
107.0,0.9895544130170603
108.0,0.9894554575757586
109.0,0.9893565120300011
110.0,0.9892575763787981
111.0,0.9891586506211602
112.0,0.9890597347560981
113.0,0.9889608287826225
114.0,0.9888619326997442
115.0,0.9887630465064743
116.0,0.9886641702018236
117.0,0.9885653037848035
118.0,0.988466447254425
119.0,0.9883676006096995
120.0,0.9882687638496386
121.0,0.9881699369732536
122.0,0.9880711199795563
123.0,0.9879723128675584
124.0,0.9878735156362717
125.0,0.987774728284708
126.0,0.9876759508118795
127.0,0.9875771832167983
128.0,0.9874784254984766
129.0,0.9873796776559268
130.0,0.9872809396881612
131.0,0.9871822115941924
132.0,0.987083493373033
133.0,0.9869847850236957
134.0,0.9868860865451933
135.0,0.9867873979365388
136.0,0.9866887191967452
137.0,0.9865900503248255
138.0,0.986491391319793
139.0,0.9863927421806611
140.0,0.986294102906443
141.0,0.9861954734961524
142.0,0.9860968539488029
143.0,0.985998244263408
144.0,0.9858996444389817
145.0,0.9858010544745378
146.0,0.9857024743690904
147.0,0.9856039041216536
148.0,0.9855053437312414
149.0,0.9854067931968683
150.0,0.9853082525175486
151.0,0.9852097216922968
152.0,0.9851112007201276
153.0,0.9850126896000556
154.0,0.9849141883310956
155.0,0.9848156969122625
156.0,0.9847172153425713
157.0,0.9846187436210371
158.0,0.9845202817466749
159.0,0.9844218297185002
160.0,0.9843233875355284
161.0,0.9842249551967749
162.0,0.9841265327012553
163.0,0.9840281200479851
164.0,0.9839297172359803
165.0,0.9838313242642568
166.0,0.9837329411318304
167.0,0.9836345678377172
168.0,0.9835362043809335
169.0,0.9834378507604954
170.0,0.9833395069754194
171.0,0.9832411730247218
172.0,0.9831428489074193
173.0,0.9830445346225286
174.0,0.9829462301690663
175.0,0.9828479355460494
176.0,0.9827496507524949
177.0,0.9826513757874197
178.0,0.982553110649841
179.0,0.982454855338776
180.0,0.9823566098532421
181.0,0.9822583741922568
182.0,0.9821601483548376
183.0,0.982061932340002
184.0,0.9819637261467681
185.0,0.9818655297741534
186.0,0.981767343221176
187.0,0.9816691664868539
188.0,0.9815709995702052
189.0,0.9814728424702482
190.0,0.9813746951860012
191.0,0.9812765577164826
192.0,0.9811784300607109
193.0,0.9810803122177049
194.0,0.9809822041864831
195.0,0.9808841059660645
196.0,0.9807860175554679
197.0,0.9806879389537123
198.0,0.9805898701598169
199.0,0.9804918111728009
200.0,0.9803937619916837
201.0,0.9802957226154846
202.0,0.980197693043223
203.0,0.9800996732739187
204.0,0.9800016633065913
205.0,0.9799036631402607
206.0,0.9798056727739467
