Carroyage,Bâtis,Rues
0.6456907939,0.0933380951,0.7409865275
0.4851622155,0.261629509,0.4916122304
0.3079144982,0.6584402225,0.8465952161
1.0521579128,0.7355118651,0.8298628573

