X,Y,cat,ID,rues_ori,bati_ori
596143.9,132015.2,1,0,1.773884000000000,1.861037000000000
596318.9,132015.2,2,1,1.773313000000000,1.862459000000000
596493.9,132015.2,3,2,1.772455000000000,1.863980000000000
596668.9,132015.2,4,3,1.771263000000000,1.865564000000000
596843.9,132015.2,5,4,1.769659000000000,1.867105000000000
597018.9,132015.2,6,5,1.767524000000000,1.868438000000000
597193.9,132015.2,7,6,1.764748000000000,1.869373000000000
597368.9,132015.2,8,7,1.761183000000000,1.869632000000000
597543.9,132015.2,9,8,1.756660000000000,1.868900000000000
597718.9,132015.2,10,9,1.750981000000000,1.866809000000000
597893.9,132015.2,11,10,1.743975000000000,1.863017000000000
598068.9,132015.2,12,11,1.735476000000000,1.857275000000000
598243.9,132015.2,13,12,1.725421000000000,1.849521000000000
598418.9,132015.2,14,13,1.713825000000000,1.839825000000000
598593.9,132015.2,15,14,1.700898000000000,1.828143000000000
598768.9,132015.2,16,15,1.686941000000000,1.814104000000000
598943.9,132015.2,17,16,1.672483000000000,1.796929000000000
599118.9,132015.2,18,17,1.658195000000000,1.775130000000000
599293.9,132015.2,19,18,1.644823000000000,1.746078000000000
599468.9,132015.2,20,19,1.633254000000000,1.705078000000000
599643.9,132015.2,21,20,1.624290000000000,1.643392000000000
599818.9,132015.2,22,21,1.618404000000000,1.544220000000000
599993.9,132015.2,23,22,1.615575000000000,1.378129000000000
600168.9,132015.2,24,23,1.615131000000000,1.123393000000000
600343.9,132015.2,25,24,1.616098000000000,0.911457000000000
600518.9,132015.2,26,25,1.617529000000000,1.019189000000000
600693.9,132015.2,27,26,1.618859000000000,1.281246000000000
600868.9,132015.2,28,27,1.619995000000000,1.475942000000000
601043.9,132015.2,29,28,1.621425000000000,1.591124000000000
601218.9,132015.2,30,29,1.623862000000000,1.659941000000000
601393.9,132015.2,31,30,1.627893000000000,1.705007000000000
601568.9,132015.2,32,31,1.633676000000000,1.739196000000000
601743.9,132015.2,33,32,1.640624000000000,1.770488000000000
601918.9,132015.2,34,33,1.647235000000000,1.804474000000000
602093.9,132015.2,35,34,1.651324000000000,1.843214000000000
602268.9,132015.2,36,35,1.651367000000000,1.880113000000000
602443.9,132015.2,37,36,1.647864000000000,1.899353000000000
602618.9,132015.2,38,37,1.642761000000000,1.892513000000000
602793.9,132015.2,39,38,1.637967000000000,1.869364000000000
602968.9,132015.2,40,39,1.634488000000000,1.844148000000000
603143.9,132015.2,41,40,1.632618000000000,1.823854000000000
603318.9,132015.2,42,41,1.632209000000000,1.809788000000000
603493.9,132015.2,43,42,1.633028000000000,1.800939000000000
603668.9,132015.2,44,43,1.634786000000000,1.795941000000000
603843.9,132015.2,45,44,1.637222000000000,1.793638000000000
604018.9,132015.2,46,45,1.640131000000000,1.793157000000000
604193.9,132015.2,47,46,1.643343000000000,1.793892000000000
604368.9,132015.2,48,47,1.646723000000000,1.795403000000000
604543.9,132015.2,49,48,1.650193000000000,1.797401000000000
604718.9,132015.2,50,49,1.653674000000000,1.799690000000000
604893.9,132015.2,51,50,1.657114000000000,1.802109000000000
596143.9,131840.2,52,51,1.777791000000000,1.862723000000000
596318.9,131840.2,53,52,1.777605000000000,1.864652000000000
596493.9,131840.2,54,53,1.777175000000000,1.866812000000000
596668.9,131840.2,55,54,1.776438000000000,1.869173000000000
596843.9,131840.2,56,55,1.775314000000000,1.871649000000000
597018.9,131840.2,57,56,1.773674000000000,1.874052000000000
597193.9,131840.2,58,57,1.771405000000000,1.876175000000000
597368.9,131840.2,59,58,1.768335000000000,1.877663000000000
597543.9,131840.2,60,59,1.764219000000000,1.878129000000000
597718.9,131840.2,61,60,1.758821000000000,1.877008000000000
597893.9,131840.2,62,61,1.751825000000000,1.873705000000000
598068.9,131840.2,63,62,1.742979000000000,1.867757000000000
598243.9,131840.2,64,63,1.732105000000000,1.859261000000000
598418.9,131840.2,65,64,1.719166000000000,1.848623000000000
598593.9,131840.2,66,65,1.704365000000000,1.836158000000000
598768.9,131840.2,67,66,1.688063000000000,1.821603000000000
598943.9,131840.2,68,67,1.670873000000000,1.804191000000000
599118.9,131840.2,69,68,1.653598000000000,1.782292000000000
599293.9,131840.2,70,69,1.637308000000000,1.753136000000000
599468.9,131840.2,71,70,1.623268000000000,1.711518000000000
599643.9,131840.2,72,71,1.612860000000000,1.647066000000000
599818.9,131840.2,73,72,1.607122000000000,1.537249000000000
599993.9,131840.2,74,73,1.606016000000000,1.331271000000000
600168.9,131840.2,75,74,1.608302000000000,0.939457000000000
600343.9,131840.2,76,75,1.612079000000000,0.518444000000000
600518.9,131840.2,77,76,1.615724000000000,0.779906000000000
600693.9,131840.2,78,77,1.618185000000000,1.199207000000000
600868.9,131840.2,79,78,1.619366000000000,1.456451000000000
601043.9,131840.2,80,79,1.620464000000000,1.588252000000000
601218.9,131840.2,81,80,1.623106000000000,1.660905000000000
601393.9,131840.2,82,81,1.628579000000000,1.706656000000000
601568.9,131840.2,83,82,1.637486000000000,1.741418000000000
601743.9,131840.2,84,83,1.649392000000000,1.775497000000000
601918.9,131840.2,85,84,1.661730000000000,1.818696000000000
602093.9,131840.2,86,85,1.669266000000000,1.880524000000000
602268.9,131840.2,87,86,1.667767000000000,1.953599000000000
602443.9,131840.2,88,87,1.658915000000000,1.990881000000000
602618.9,131840.2,89,88,1.648093000000000,1.963281000000000
602793.9,131840.2,90,89,1.639058000000000,1.908341000000000
602968.9,131840.2,91,90,1.633038000000000,1.861130000000000
603143.9,131840.2,92,91,1.629853000000000,1.829206000000000
603318.9,131840.2,93,92,1.628939000000000,1.809662000000000
603493.9,131840.2,94,93,1.629710000000000,1.798504000000000
603668.9,131840.2,95,94,1.631670000000000,1.792730000000000
603843.9,131840.2,96,95,1.634436000000000,1.790383000000000
604018.9,131840.2,97,96,1.637721000000000,1.790187000000000
604193.9,131840.2,98,97,1.641309000000000,1.791310000000000
604368.9,131840.2,99,98,1.645060000000000,1.793263000000000
604543.9,131840.2,100,99,1.648866000000000,1.795643000000000
604718.9,131840.2,101,100,1.652642000000000,1.798291000000000
604893.9,131840.2,102,101,1.656348000000000,1.801029000000000
596143.9,131665.2,103,102,1.782482000000000,1.864551000000000
596318.9,131665.2,104,103,1.782834000000000,1.867125000000000
596493.9,131665.2,105,104,1.782980000000000,1.870143000000000
596668.9,131665.2,106,105,1.782880000000000,1.873633000000000
596843.9,131665.2,107,106,1.782446000000000,1.877506000000000
597018.9,131665.2,108,107,1.781577000000000,1.881617000000000
597193.9,131665.2,109,108,1.780147000000000,1.885712000000000
597368.9,131665.2,110,109,1.777939000000000,1.889371000000000
597543.9,131665.2,111,110,1.774702000000000,1.892116000000000
597718.9,131665.2,112,111,1.770025000000000,1.893192000000000
597893.9,131665.2,113,112,1.763443000000000,1.891205000000000
598068.9,131665.2,114,113,1.754502000000000,1.884761000000000
598243.9,131665.2,115,114,1.742809000000000,1.874240000000000
598418.9,131665.2,116,115,1.728174000000000,1.861461000000000
598593.9,131665.2,117,116,1.710754000000000,1.847543000000000
598768.9,131665.2,118,117,1.690969000000000,1.832426000000000
598943.9,131665.2,119,118,1.669592000000000,1.815189000000000
599118.9,131665.2,120,119,1.647624000000000,1.794284000000000
599293.9,131665.2,121,120,1.626366000000000,1.767110000000000
599468.9,131665.2,122,121,1.607658000000000,1.729134000000000
599643.9,131665.2,123,122,1.594241000000000,1.671551000000000
599818.9,131665.2,124,123,1.588926000000000,1.576017000000000
599993.9,131665.2,125,124,1.592193000000000,1.403043000000000
600168.9,131665.2,126,125,1.601073000000000,1.093636000000000
600343.9,131665.2,127,126,1.611097000000000,0.788076000000000
600518.9,131665.2,128,127,1.619322000000000,0.960718000000000
600693.9,131665.2,129,128,1.623724000000000,1.289036000000000
600868.9,131665.2,130,129,1.623245000000000,1.498686000000000
601043.9,131665.2,131,130,1.621544000000000,1.609593000000000
601218.9,131665.2,132,131,1.623280000000000,1.672048000000000
601393.9,131665.2,133,132,1.630727000000000,1.712097000000000
601568.9,131665.2,134,133,1.645514000000000,1.743098000000000
601743.9,131665.2,135,134,1.669150000000000,1.774931000000000
601918.9,131665.2,136,135,1.698985000000000,1.822111000000000
602093.9,131665.2,137,136,1.719310000000000,1.920493000000000
602268.9,131665.2,138,137,1.711020000000000,2.111189000000000
602443.9,131665.2,139,138,1.683747000000000,2.220583000000000
602618.9,131665.2,140,139,1.657966000000000,2.099752000000000
602793.9,131665.2,141,140,1.640498000000000,1.960296000000000
602968.9,131665.2,142,141,1.630398000000000,1.875260000000000
603143.9,131665.2,143,142,1.625564000000000,1.829082000000000
603318.9,131665.2,144,143,1.624246000000000,1.804667000000000
603493.9,131665.2,145,144,1.625201000000000,1.792334000000000
603668.9,131665.2,146,145,1.627629000000000,1.786824000000000
603843.9,131665.2,147,146,1.630969000000000,1.785209000000000
604018.9,131665.2,148,147,1.634853000000000,1.785858000000000
604193.9,131665.2,149,148,1.639002000000000,1.787806000000000
604368.9,131665.2,150,149,1.643249000000000,1.790461000000000
604543.9,131665.2,151,150,1.647483000000000,1.793486000000000
604718.9,131665.2,152,151,1.651641000000000,1.796652000000000
604893.9,131665.2,153,152,1.655666000000000,1.799826000000000
596143.9,131490.2,154,153,1.786555000000000,1.865881000000000
596318.9,131490.2,155,154,1.787423000000000,1.869058000000000
596493.9,131490.2,156,155,1.788155000000000,1.872925000000000
596668.9,131490.2,157,156,1.788674000000000,1.877550000000000
596843.9,131490.2,158,157,1.788951000000000,1.882957000000000
597018.9,131490.2,159,158,1.788905000000000,1.889044000000000
597193.9,131490.2,160,159,1.788408000000000,1.895517000000000
597368.9,131490.2,161,160,1.787298000000000,1.901964000000000
597543.9,131490.2,162,161,1.785236000000000,1.907925000000000
597718.9,131490.2,163,162,1.781721000000000,1.912894000000000
597893.9,131490.2,164,163,1.776087000000000,1.914415000000000
598068.9,131490.2,165,164,1.767546000000000,1.907016000000000
598243.9,131490.2,166,165,1.755418000000000,1.891686000000000
598418.9,131490.2,167,166,1.739281000000000,1.874865000000000
598593.9,131490.2,168,167,1.719207000000000,1.858887000000000
598768.9,131490.2,169,168,1.695708000000000,1.843188000000000
598943.9,131490.2,170,169,1.669743000000000,1.826448000000000
599118.9,131490.2,171,170,1.642523000000000,1.807104000000000
599293.9,131490.2,172,171,1.615272000000000,1.782874000000000
599468.9,131490.2,173,172,1.589568000000000,1.750378000000000
599643.9,131490.2,174,173,1.570269000000000,1.704085000000000
599818.9,131490.2,175,174,1.565142000000000,1.634233000000000
599993.9,131490.2,176,175,1.576815000000000,1.526009000000000
600168.9,131490.2,177,176,1.598531000000000,1.375575000000000
600343.9,131490.2,178,177,1.618548000000000,1.260576000000000
600518.9,131490.2,179,178,1.634016000000000,1.310220000000000
600693.9,131490.2,180,179,1.643133000000000,1.451751000000000
600868.9,131490.2,181,180,1.635178000000000,1.567330000000000
601043.9,131490.2,182,181,1.624532000000000,1.640552000000000
601218.9,131490.2,183,182,1.623923000000000,1.686880000000000
601393.9,131490.2,184,183,1.633447000000000,1.718642000000000
601568.9,131490.2,185,184,1.655437000000000,1.743057000000000
601743.9,131490.2,186,185,1.698009000000000,1.765246000000000
601918.9,131490.2,187,186,1.770595000000000,1.790417000000000
602093.9,131490.2,188,187,1.837951000000000,1.857830000000000
602268.9,131490.2,189,188,1.800817000000000,2.246360000000000
602443.9,131490.2,190,189,1.720306000000000,2.554140000000000
602618.9,131490.2,191,190,1.667799000000000,2.201829000000000
602793.9,131490.2,192,191,1.639939000000000,1.976023000000000
602968.9,131490.2,193,192,1.626170000000000,1.868849000000000
603143.9,131490.2,194,193,1.620355000000000,1.818241000000000
603318.9,131490.2,195,194,1.619151000000000,1.794244000000000
603493.9,131490.2,196,195,1.620674000000000,1.783475000000000
603668.9,131490.2,197,196,1.623816000000000,1.779630000000000
603843.9,131490.2,198,197,1.627876000000000,1.779540000000000
604018.9,131490.2,199,198,1.632402000000000,1.781449000000000
604193.9,131490.2,200,199,1.637129000000000,1.784438000000000
604368.9,131490.2,201,200,1.641870000000000,1.787927000000000
604543.9,131490.2,202,201,1.646515000000000,1.791605000000000
604718.9,131490.2,203,202,1.651014000000000,1.795286000000000
604893.9,131490.2,204,203,1.655335000000000,1.798871000000000
596143.9,131315.2,205,204,1.791270000000000,1.866989000000000
596318.9,131315.2,206,205,1.792795000000000,1.870879000000000
596493.9,131315.2,207,206,1.794262000000000,1.875801000000000
596668.9,131315.2,208,207,1.795620000000000,1.881977000000000
596843.9,131315.2,209,208,1.796824000000000,1.889619000000000
597018.9,131315.2,210,209,1.797861000000000,1.898835000000000
597193.9,131315.2,211,210,1.798705000000000,1.909386000000000
597368.9,131315.2,212,211,1.799291000000000,1.920628000000000
597543.9,131315.2,213,212,1.799337000000000,1.932112000000000
597718.9,131315.2,214,213,1.798197000000000,1.946205000000000
597893.9,131315.2,215,214,1.794840000000000,1.965403000000000
598068.9,131315.2,216,215,1.787876000000000,1.955621000000000
598243.9,131315.2,217,216,1.775955000000000,1.919514000000000
598418.9,131315.2,218,217,1.758180000000000,1.892820000000000
598593.9,131315.2,219,218,1.734446000000000,1.873398000000000
598768.9,131315.2,220,219,1.705474000000000,1.856974000000000
